"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"83eb5a6c-fe77-47b3-a29d-d407e9ba92e0",22,"US","f",59953,2210,"user",1184784770,1258397642,1375795783
"a892a6da-dcde-429f-84c7-36fbdaa3d1c7",19,"NL","f",22088,1198,"user",1273679698,1377181969,1273680098
"cd386743-99d3-45c6-99cd-b0a2351075ab",20,"AU","f",35760,1453,"user",1246885209,1246887134,1372422125
"a9c4f5f9-393f-48cc-baba-9703be84e126",18,"UA","f",34279,1460,"user",1246985201,1247040393,1373144375
"ab21e71d-a582-4b8c-b625-f7d600fccb77",25,"US","m",31895,1266,"user",1248901807,1248897904,1358303641
"475b9dbd-09c9-46f5-88be-8ea3627c1348",22,"MX","m",14835,1034,"user",1276316385,1276406248,1352128397
"67e608f1-540f-4e52-8fd1-34e02ed8eb65",25,"PL","m",46386,1720,"user",1227555592,1227558871,1376087284
"e9631abe-1309-4eaf-a377-c73fb940ba31",30,"RU","m",144306,2710,"user",1138481871,1138483272,1372684158
"3855a295-a064-47fe-a270-623420a1b9ce",23,"US","m",76477,2800,"user",1126672315,1126675091,1363848061
"08911ea4-df12-4f8d-88cf-46130ddd4ea9",27,"DE","f",9188,843,"user",1304933944,1304931200,1377768995
"666c307d-5824-47e9-ab71-66b3c9abd9e9",39,"CA","m",33476,1586,"subscrib",1231957236,1368829161,1231957252
"b73e86b2-0a44-43a8-bfee-002c8519b916",28,"US","f",57665,2663,"user",1125580769,1125581309,1355607500
"86193fe8-dc06-4183-a5d7-fad130673aae",34,"PL","m",34329,2782,"user",1138752565,1138753601,1379120795
"710f79a6-705d-42e5-a9d3-251b2cf76940",22,"UK","m",35829,2419,"user",1156872784,1365791259,1156873797
"7da31791-d0c4-4456-83c6-2ecf6307baa4",28,"FR","m",38658,2709,"user",1128212969,1108369454,1360084374
"ee111df2-8b34-48ca-b4aa-35699338f1e4",23,"BE","m",129358,1233,"user",1268584857,1268585673,1375169388
"71e109e2-8dfa-45a3-b56f-fcd329735040",21,"CA","m",22932,1151,"user",1268152718,1268153387,1367607615
"50e6e7f8-7aa2-43a8-9507-de1cba96b043",43,"DE","m",49834,1675,"subscrib",1212563839,1212564640,1357228264
"0f87dd0f-5e03-4863-a9c2-58d667dd7a67",27,"US","m",10952,984,"user",1281304810,1281304796,1365189885
"d69fd22a-d2a6-4d60-91bd-1313c3b3a8d3",25,"US","f",114058,2616,"user",1145823487,1145815192,1371743301
"8c7c65fb-5b9e-4ea1-a147-bd938bade5a7",20,"BR","m",28090,1552,"user",1221270622,1355281962,1221274804
"fd1cf870-c893-4edf-b3fd-fef410cc523f",29,"NL","f",110280,1707,"user",1228332670,1365780128,1228350931
"6c95144b-d4f7-4dea-9b6d-5b878d4efd32",27,"US","m",77568,2466,"user",1137617505,1137665742,1354681972
"91c25be9-a94b-4924-875e-4292e0eef0f5",25,"UY","m",137788,1929,"user",1206070016,1206137273,1372751005
"7fb7ee93-25b1-4a1b-adf4-eff40d9083ce",24,"CZ","m",64127,2612,"user",1147955247,1147956084,1373537058
"c106dbd2-90b7-48af-bc89-c4350cccfc09",20,"US","f",22674,1823,"user",1200616625,1200616870,1358117694
"f9eae71c-cfcd-4bd9-84da-aa5dc9d6ce45",25,"BR","m",28727,2041,"user",1198264679,1219530766,1374610152
"9d683095-752a-4e39-971a-0f5fe5598c5d",25,"FI","m",29623,1491,"user",1228234672,1228235034,1357049262
"5b90e4d7-8be4-43b7-9da6-485e6e85b7f8",34,"HR","m",19726,872,"user",1303641108,1303643197,1378635253
"b3a15405-4607-490e-9728-4a89edd943ef",21,"US","f",127336,2853,"user",1129760998,1129792613,1376280989
"bf81370d-efbd-43a6-b48b-7f7551d1201a",23,"RU","m",48484,2694,"user",1117923004,1117923618,1354635389
"9c042bba-e28f-443b-a30d-5d203763f955",23,"UA","m",15485,1032,"user",1286624458,1287490407,1375639170
"1baeaf26-edaa-466a-a863-aa21fb2c78c8",22,"US","m",63573,2671,"user",1132531993,1132533977,1363144213
"e27f1cba-9ced-4466-ad2d-171698d71ca5",35,"UK","m",25156,1996,"user",1201901669,1201903062,1374307272
"f6a87dde-2904-4419-a484-99827167fe1e",24,"FI","f",268564,1360,"user",1233160211,1259440992,1354616797
"1bbc4fdb-caa2-4b08-9a5f-e91cb612516b",23,"PL","f",36729,1745,"user",1204411183,1204413080,1355156896
